DZN,Mode,Persons
110326138,"Car, as passenger",63
110326138,Truck,11
110326138,Motorbike/scooter,3
110326138,Bicycle,3
110326138,Walked only,32
110326138,Worked at home,70
110336058,Train,12
110336058,Bus,6
110336058,Ferry,0
110336058,Tram,0
110336058,Taxi,0
110336058,"Car, as driver",413
110336058,"Car, as passenger",20
110336058,Truck,9
110336058,Motorbike/scooter,0
110336058,Bicycle,0
110336058,Walked only,26
110336058,Worked at home,103
110336059,Train,7
110336059,Bus,3
110336059,Ferry,0
110336059,Tram,0
110336059,Taxi,0
110336059,"Car, as driver",536
110336059,"Car, as passenger",10
110336059,Truck,0
110336059,Motorbike/scooter,9
110336059,Bicycle,4
110336059,Walked only,0
110336059,Worked at home,3
110346234,Train,3
110346234,Bus,6
110346234,Ferry,0
110346234,Tram,0
110346234,Taxi,0
110346234,"Car, as driver",722
110346234,"Car, as passenger",30
110346234,Truck,7
110346234,Motorbike/scooter,6
110346234,Bicycle,4
110346234,Walked only,16
110346234,Worked at home,32
110346235,Train,6
110346235,Bus,8
110346235,Ferry,0
110346235,Tram,0
110346235,Taxi,0
110346235,"Car, as driver",751
110346235,"Car, as passenger",61
110346235,Truck,7
110346235,Motorbike/scooter,3
110346235,Bicycle,0
110346235,Walked only,19
110346235,Worked at home,42
110346236,Train,0
110346236,Bus,0
110346236,Ferry,0
110346236,Tram,0
110346236,Taxi,0
110346236,"Car, as driver",76
110346236,"Car, as passenger",3
110346236,Truck,3
110346236,Motorbike/scooter,0
110346236,Bicycle,0
110346236,Walked only,0
110346236,Worked at home,42
110350001,Train,5
110350001,Bus,0
110350001,Ferry,0
110350001,Tram,0
110350001,Taxi,0
110350001,"Car, as driver",360
110350001,"Car, as passenger",21
110350001,Truck,3
110350001,Motorbike/scooter,4
110350001,Bicycle,6
110350001,Walked only,3
110350001,Worked at home,37
110350002,Train,3
110350002,Bus,3
110350002,Ferry,0
110350002,Tram,0
110350002,Taxi,0
110350002,"Car, as driver",76
110350002,"Car, as passenger",4
110350002,Truck,0
110350002,Motorbike/scooter,0
110350002,Bicycle,0
