LGA_HTS_CODE,LGA_HTS,LGA_16_CODE,LGA_16,LGA_24_CODE,LGA_24,SA2_16_CODE,SA2_16,SA2_LGA_weight,CO2_weighted,CO2_total,SA2_LGA_CO2_ratio,CO2_total_car,CO2_total_car_prop
6400,Port Stephens,16400,Port Stephens (A),106031120,Port Stephens,106031120,Lemon Tree Passage - Tanilba Bay,0.100774843,195.5485078,1940.44964,0.113476803,1925.312974,0.992199403
6400,Port Stephens,16400,Port Stephens (A),106031121,Port Stephens,106031121,Nelson Bay Peninsula,0.31679631,540.1604233,1705.071702,-0.021588735,1692.59821,0.992684477
6400,Port Stephens,16400,Port Stephens (A),106031122,Port Stephens,106031122,Raymond Terrace,0.208408707,341.8718627,1640.391458,-0.058703819,1633.115996,0.995564802
6400,Port Stephens,16400,Port Stephens (A),106031123,Port Stephens,106031123,Seaham - Woodville,0.08158466,153.2797453,1878.781444,0.078090105,1873.413616,0.997142921
6400,Port Stephens,16400,Port Stephens (A),106031125,Port Stephens,106031125,Williamtown - Medowie - Karuah,0.206117342,366.9113363,1780.109004,0.021469479,1763.318305,0.990567601
8450,Wollongong,18450,Wollongong (C),107011131,Wollongong,107011131,Dapto - Avondale,0.115196512,203.0632928,1762.755567,0.10159377,1741.958205,0.988201789
8450,Wollongong,18450,Wollongong (C),107011132,Wollongong,107011132,Horsley - Kembla Grange,0.042498969,75.20954229,1769.67922,0.105920548,1748.485774,0.988024131
8450,Wollongong,18450,Wollongong (C),107011134,Wollongong,107011134,Unanderra - Mount Kembla,0.075491525,127.0947356,1683.562964,0.052104164,1662.083805,0.987241844
8450,Wollongong,18450,Wollongong (C),107011545,Wollongong,107011545,Berkeley - Lake Heights - Cringila,0.067747923,112.7475214,1664.221077,0.040016895,1644.414134,0.98809837
8450,Wollongong,18450,Wollongong (C),107011546,Wollongong,107011546,Port Kembla - Warrawong,0.047880698,78.44393696,1638.320664,0.023831024,1615.234509,0.985908646
8450,Wollongong,18450,Wollongong (C),107011547,Wollongong,107011547,Windang - Primbee,0.02111936,35.72060988,1691.368009,0.056981749,1672.768678,0.98900338
6900,Shellharbour,16900,Shellharbour (C),107031136,Shellharbour,107031136,Albion Park - Macquarie Pass,0.209355324,378.3074736,1807.011479,0.044388723,1791.264156,0.991285433
6900,Shellharbour,16900,Shellharbour (C),107031137,Shellharbour,107031137,Albion Park Rail,0.101062043,180.1452174,1782.521034,0.030234112,1763.530734,0.989346381
4400,Kiama,14400,Kiama (A),107031138,Kiama,107031138,Kiama,0.359882144,725.6194102,2016.269555,-0.02374043,1990.734069,0.987335282
4400,Kiama,14400,Kiama (A),107031139,Kiama,107031139,Kiama Downs - Minnamurra,0.27476382,575.0722528,2092.969347,0.013396918,2071.305834,0.989649388
